text,label
The automotive plant reduced supply-chain emissions by 86% compared with 2019.,0
We are taking meaningful steps to care for the planet across our teams This reflects our commitment.,1
We work every day toward climate-conscious innovation as part of our environmental journey across our global network.,1
The manufacturing site reported 34% renewable electricity use in 2022.,0
We are proud to support a cleaner planet with bold ambitions and strong values across our value chain.,1
The supplier network reduced water withdrawal by 49% at 136 facilities.,0
Sustainability is deeply embedded in our culture and decision-making across our value chain.,1
The retail division verified Scope 1 emissions by 54% compared with 2019.,0
The manufacturing site lowered packaging weight by 33% per shipped unit.,0
We are passionate about planet-friendly business through innovation and teamwork.,1
The manufacturing site improved supply-chain emissions by 67% compared with 2019.,0
We are passionate about long-term sustainability with bold ambitions and strong values across our brands This reflects our purpose.,1
"The manufacturing site installed 226 solar panels, generating 69920 MWh of electricity annually.",0
We are passionate about long-term sustainability across everything we do across our communities.,1
Environmental responsibility is central to our identity across our value chain This reflects our values.,1
The corporate office invested €304 million in circular packaging during 2021.,0
Environmental responsibility is central to our identity This reflects our purpose.,1
We embrace eco-friendly transformation as part of our environmental journey.,1
We continue to promote a cleaner planet across everything we do across our brands This reflects our purpose.,1
The corporate office lowered packaging weight by 32% per shipped unit.,0
The retail division invested €574 million in water recycling during 2022.,0
We believe in positive change across our brands.,1
We embrace climate-conscious innovation as part of our environmental journey This reflects our responsibility.,1
The data center diverted 57% of Scope 1 emissions from landfill in 2022.,0
We remain dedicated to a better tomorrow across our global network.,1
The retail division achieved ISO 14001 certification at 162 operating sites.,0
We remain dedicated to environmental excellence while creating value for all stakeholders across our global network.,1
The corporate office decreased water consumption by 63% compared with 2019.,0
We work every day toward positive change in every aspect of our business This reflects our commitment.,1
We work every day toward eco-friendly transformation as part of our environmental journey across our operations.,1
The distribution center purchased 85984 MWh of certified renewable electricity in 2024.,0
We are committed to a better tomorrow through innovation and teamwork across our communities This reflects our commitment.,1
The corporate office diverted 23% of cooling energy demand from landfill in 2020.,0
We work every day toward long-term sustainability while creating value for all stakeholders across our global network.,1
"The production facility installed 176 solar panels, generating 94279 MWh of electricity annually.",0
We embrace climate-conscious innovation for future generations across our operations.,1
Sustainability is deeply embedded in our culture and decision-making across our communities.,1
We strive to responsible growth while creating value for all stakeholders across our operations.,1
The data center reduced water withdrawal by 5% at 14 facilities.,0
We work every day toward a cleaner planet across everything we do across our communities This reflects our values.,1
"The distribution center measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2019.",0
We embrace climate-conscious innovation in every aspect of our business.,1
We are passionate about responsible growth across our value chain This reflects our values.,1
The distribution center diverted 67% of electricity consumption from landfill in 2022.,0
We work every day toward responsible growth with bold ambitions and strong values across our teams.,1
We remain dedicated to environmental excellence for future generations across our value chain.,1
The automotive plant achieved ISO 14001 certification at 136 operating sites.,0
"The data center installed 179 solar panels, generating 10168 MWh of electricity annually.",0
The logistics division diverted 28% of hazardous waste from landfill in 2025.,0
The logistics division reported 98% renewable electricity use in 2020.,0
The retail division replaced 242 diesel forklifts with electric models in 2019.,0
We are building a future where business and nature can thrive together across our value chain This reflects our vision.,1
The retail division invested €56 million in water recycling during 2023.,0
The supplier network lowered packaging weight by 13% per shipped unit.,0
We are committed to planet-friendly business across our global network.,1
The company lowered hazardous waste by 27% compared with 2019.,0
We are committed to eco-friendly transformation as part of our environmental journey across our operations.,1
We are building a future where business and nature can thrive together This reflects our vision.,1
The retail division trained 45 suppliers on environmental reporting requirements.,0
We embrace positive change in every aspect of our business across our brands.,1
The manufacturing site purchased 94239 MWh of certified renewable electricity in 2024.,0
We are passionate about sustainable progress across everything we do across our communities This reflects our purpose.,1
We believe in positive change through innovation and teamwork across our brands.,1
Our sustainability journey reflects our values and purpose across our value chain This reflects our values.,1
"The distribution center installed 194 solar panels, generating 23910 MWh of electricity annually.",0
Our green vision guides us toward a more responsible future across our operations This reflects our values.,1
The retail division trained 109 suppliers on environmental reporting requirements.,0
The European operations reduced water withdrawal by 24% at 129 facilities.,0
We remain dedicated to positive change as part of our environmental journey across our global network This reflects our purpose.,1
The data center trained 200 suppliers on environmental reporting requirements.,0
The corporate office achieved ISO 14001 certification at 105 operating sites.,0
We aim to inspire a greener future with bold ambitions and strong values across our operations This reflects our vision.,1
We are proud to support long-term sustainability across everything we do across our operations.,1
We embrace sustainable progress in every aspect of our business This reflects our responsibility.,1
The packaging unit recycled 77% of production waste across 185 sites.,0
The European operations lowered packaging weight by 13% per shipped unit.,0
We are passionate about responsible growth as part of our environmental journey across our operations This reflects our values.,1
The corporate office reduced water withdrawal by 48% at 225 facilities.,0
The company switched 36% of its fleet to electric vehicles by the end of 2022.,0
The company diverted 3% of paper usage from landfill in 2023.,0
The manufacturing site decreased diesel use by 15% compared with 2025.,0
The distribution center completed third-party verification for paper usage data in 2025.,0
The logistics division replaced 117 diesel forklifts with electric models in 2021.,0
The distribution center completed third-party verification for diesel use data in 2023.,0
The retail division replaced 106 diesel forklifts with electric models in 2023.,0
We aim to inspire a cleaner planet through innovation and teamwork across our brands.,1
The retail division reduced water withdrawal by 72% at 230 facilities.,0
The supplier network recycled 9% of production waste across 145 sites.,0
We strive to sustainable progress with bold ambitions and strong values across our value chain.,1
We remain dedicated to eco-friendly transformation through innovation and teamwork across our communities.,1
The logistics division improved Scope 2 emissions by 31% compared with 2022.,0
"The data center measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2024.",0
The retail division lowered packaging weight by 39% per shipped unit.,0
The company achieved ISO 14001 certification at 213 operating sites.,0
We work every day toward sustainable progress as part of our environmental journey.,1
We work every day toward climate-conscious innovation in every aspect of our business.,1
We are committed to responsible growth across our communities This reflects our commitment.,1
The manufacturing site reported 95% renewable electricity use in 2019.,0
"The distribution center measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2023.",0
The logistics division trained 70 suppliers on environmental reporting requirements.,0
We embrace positive change while creating value for all stakeholders This reflects our purpose.,1
The European operations reported 11% renewable electricity use in 2024.,0
We believe in a better tomorrow with bold ambitions and strong values.,1
Sustainability is deeply embedded in our culture and decision-making across our brands This reflects our commitment.,1
We believe in planet-friendly business through innovation and teamwork across our communities This reflects our responsibility.,1
The manufacturing site trained 29 suppliers on environmental reporting requirements.,0
We embrace sustainable progress across our communities.,1
The supplier network recycled 94% of production waste across 230 sites.,0
The company replaced 233 diesel forklifts with electric models in 2024.,0
The logistics division recycled 48% of production waste across 77 sites.,0
We continue to promote positive change with bold ambitions and strong values across our brands.,1
The automotive plant diverted 4% of energy consumption from landfill in 2024.,0
We embrace a cleaner planet across everything we do.,1
The data center replaced 212 diesel forklifts with electric models in 2021.,0
We strive to eco-friendly transformation for future generations across our teams This reflects our commitment.,1
We are committed to a cleaner planet in every aspect of our business This reflects our values.,1
We believe in environmental excellence across our brands This reflects our vision.,1
The European operations reduced water withdrawal by 86% at 226 facilities.,0
The automotive plant purchased 91996 MWh of certified renewable electricity in 2024.,0
We work every day toward sustainable progress across everything we do.,1
We embrace sustainable progress while creating value for all stakeholders across our global network.,1
The retail division reported 61% renewable electricity use in 2022.,0
Environmental responsibility is central to our identity across our teams.,1
The supplier network recycled 51% of production waste across 146 sites.,0
We are committed to environmental excellence as part of our environmental journey across our brands.,1
We remain dedicated to positive change This reflects our purpose.,1
We are proud to support climate-conscious innovation with bold ambitions and strong values across our value chain This reflects our commitment.,1
We remain dedicated to long-term sustainability while creating value for all stakeholders across our brands This reflects our purpose.,1
The production facility recycled 44% of production waste across 141 sites.,0
We are transforming our business to become more environmentally friendly across our value chain This reflects our values.,1
We embrace a greener future through innovation and teamwork.,1
We are building a future where business and nature can thrive together across our brands.,1
We strive to long-term sustainability with bold ambitions and strong values across our teams.,1
We aim to inspire planet-friendly business through innovation and teamwork across our brands This reflects our commitment.,1
We believe in eco-friendly transformation in every aspect of our business across our value chain This reflects our responsibility.,1
Sustainability is deeply embedded in our culture and decision-making This reflects our vision.,1
The automotive plant purchased 33611 MWh of certified renewable electricity in 2021.,0
We continue to promote a better tomorrow.,1
The supplier network diverted 49% of hazardous waste from landfill in 2020.,0
We are passionate about a greener future through innovation and teamwork across our communities.,1
Our sustainability journey reflects our values and purpose across our brands This reflects our values.,1
"The European operations measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2023.",0
Our green vision guides us toward a more responsible future across our communities This reflects our commitment.,1
We are passionate about eco-friendly transformation with bold ambitions and strong values.,1
The data center reduced water withdrawal by 78% at 72 facilities.,0
We are passionate about a cleaner planet across everything we do across our teams This reflects our vision.,1
We embrace environmental excellence This reflects our responsibility.,1
Our sustainability journey reflects our values and purpose This reflects our vision.,1
We aim to inspire positive change in every aspect of our business across our value chain This reflects our responsibility.,1
The data center lowered packaging weight by 42% per shipped unit.,0
We are passionate about long-term sustainability through innovation and teamwork across our operations This reflects our vision.,1
The manufacturing site replaced 226 diesel forklifts with electric models in 2020.,0
The logistics division lowered packaging weight by 83% per shipped unit.,0
The supplier network completed third-party verification for plastic packaging data in 2020.,0
The retail division achieved ISO 14001 certification at 195 operating sites.,0
The automotive plant recycled 27% of production waste across 134 sites.,0
The automotive plant invested €719 million in biodiversity protection during 2023.,0
The data center decreased business travel emissions by 55% compared with 2021.,0
The company purchased 1926 MWh of certified renewable electricity in 2025.,0
We are proud to support a greener future as part of our environmental journey across our value chain.,1
Environmental responsibility is central to our identity across our communities This reflects our vision.,1
Our sustainability journey reflects our values and purpose across our global network This reflects our commitment.,1
The data center diverted 96% of hazardous waste from landfill in 2024.,0
The European operations trained 5 suppliers on environmental reporting requirements.,0
The supplier network recycled 55% of production waste across 250 sites.,0
The production facility purchased 76845 MWh of certified renewable electricity in 2020.,0
We are building a future where business and nature can thrive together across our brands This reflects our responsibility.,1
"The production facility installed 113 solar panels, generating 71473 MWh of electricity annually.",0
The logistics division decreased cooling energy demand by 16% compared with 2024.,0
Sustainability is deeply embedded in our culture and decision-making across our brands.,1
The distribution center diverted 53% of landfill waste from landfill in 2022.,0
The manufacturing site achieved ISO 14001 certification at 205 operating sites.,0
The packaging unit trained 162 suppliers on environmental reporting requirements.,0
"The automotive plant installed 234 solar panels, generating 91525 MWh of electricity annually.",0
The European operations diverted 89% of diesel use from landfill in 2019.,0
We are committed to environmental excellence in every aspect of our business across our brands.,1
The European operations reduced water withdrawal by 51% at 241 facilities.,0
We aim to inspire a better tomorrow as part of our environmental journey across our operations.,1
We continue to promote long-term sustainability across our brands.,1
The packaging unit reported 5% renewable electricity use in 2020.,0
We aim to inspire positive change with bold ambitions and strong values.,1
The packaging unit purchased 26808 MWh of certified renewable electricity in 2019.,0
We are passionate about a greener future as part of our environmental journey across our value chain.,1
We embrace climate-conscious innovation with bold ambitions and strong values across our value chain.,1
The packaging unit replaced 98 diesel forklifts with electric models in 2020.,0
The logistics division achieved ISO 14001 certification at 58 operating sites.,0
We are transforming our business to become more environmentally friendly across our operations.,1
We are taking meaningful steps to care for the planet across our teams.,1
The supplier network reduced diesel use by 15% compared with 2022.,0
We are building a future where business and nature can thrive together across our brands This reflects our purpose.,1
"The manufacturing site installed 34 solar panels, generating 57909 MWh of electricity annually.",0
We are proud to support eco-friendly transformation while creating value for all stakeholders across our communities.,1
Environmental responsibility is central to our identity across our teams This reflects our values.,1
The manufacturing site diverted 30% of plastic packaging from landfill in 2023.,0
"The automotive plant measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2024.",0
We remain dedicated to planet-friendly business while creating value for all stakeholders across our operations.,1
The automotive plant diverted 34% of water consumption from landfill in 2022.,0
The supplier network reduced water withdrawal by 38% at 123 facilities.,0
The European operations reduced water withdrawal by 27% at 90 facilities.,0
The production facility diverted 3% of electricity consumption from landfill in 2022.,0
"The packaging unit installed 158 solar panels, generating 58734 MWh of electricity annually.",0
We are transforming our business to become more environmentally friendly across our brands.,1
The European operations purchased 83085 MWh of certified renewable electricity in 2019.,0
The company achieved ISO 14001 certification at 153 operating sites.,0
The production facility diverted 19% of business travel emissions from landfill in 2022.,0
The retail division replaced 128 diesel forklifts with electric models in 2020.,0
The automotive plant diverted 5% of energy consumption from landfill in 2025.,0
We continue to promote eco-friendly transformation in every aspect of our business across our operations.,1
We are committed to a greener future with bold ambitions and strong values.,1
The corporate office purchased 93864 MWh of certified renewable electricity in 2024.,0
We remain dedicated to environmental excellence while creating value for all stakeholders across our operations.,1
The packaging unit reduced water withdrawal by 24% at 3 facilities.,0
The packaging unit switched 92% of its fleet to electric vehicles by the end of 2020.,0
We are passionate about long-term sustainability in every aspect of our business across our communities.,1
We are committed to planet-friendly business as part of our environmental journey across our value chain.,1
The corporate office completed third-party verification for plastic packaging data in 2020.,0
Our green vision guides us toward a more responsible future across our value chain This reflects our values.,1
We remain dedicated to environmental excellence while creating value for all stakeholders.,1
The manufacturing site reduced water withdrawal by 98% at 164 facilities.,0
The retail division achieved ISO 14001 certification at 64 operating sites.,0
We strive to a cleaner planet with bold ambitions and strong values across our value chain This reflects our values.,1
We continue to promote a better tomorrow while creating value for all stakeholders across our global network.,1
The logistics division lowered packaging weight by 84% per shipped unit.,0
We are committed to planet-friendly business for future generations across our value chain.,1
We are proud to support climate-conscious innovation while creating value for all stakeholders across our global network.,1
We are transforming our business to become more environmentally friendly across our global network This reflects our commitment.,1
We are passionate about a greener future in every aspect of our business across our operations.,1
We believe in climate-conscious innovation through innovation and teamwork This reflects our vision.,1
We continue to promote environmental excellence through innovation and teamwork across our global network This reflects our vision.,1
We are taking meaningful steps to care for the planet across our communities This reflects our vision.,1
"The logistics division measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2021.",0
The production facility replaced 12 diesel forklifts with electric models in 2020.,0
We are committed to positive change in every aspect of our business.,1
The supplier network switched 83% of its fleet to electric vehicles by the end of 2019.,0
The data center completed third-party verification for paper usage data in 2020.,0
We believe in a better tomorrow across everything we do across our brands This reflects our vision.,1
We remain dedicated to responsible growth as part of our environmental journey across our teams.,1
We embrace a greener future in every aspect of our business across our global network This reflects our purpose.,1
The logistics division switched 57% of its fleet to electric vehicles by the end of 2020.,0
We are transforming our business to become more environmentally friendly across our global network.,1
The supplier network lowered packaging weight by 55% per shipped unit.,0
We are proud to support a cleaner planet through innovation and teamwork.,1
"The corporate office installed 155 solar panels, generating 91314 MWh of electricity annually.",0
We work every day toward positive change across everything we do This reflects our responsibility.,1
The retail division trained 207 suppliers on environmental reporting requirements.,0
We are proud to support a cleaner planet with bold ambitions and strong values across our teams This reflects our purpose.,1
The manufacturing site replaced 27 diesel forklifts with electric models in 2021.,0
We are proud to support long-term sustainability across everything we do This reflects our purpose.,1
The corporate office completed third-party verification for paper usage data in 2021.,0
"The manufacturing site installed 29 solar panels, generating 28299 MWh of electricity annually.",0
The logistics division completed third-party verification for electricity consumption data in 2024.,0
The distribution center replaced 73 diesel forklifts with electric models in 2019.,0
We aim to inspire positive change through innovation and teamwork This reflects our vision.,1
The packaging unit reduced water withdrawal by 51% at 156 facilities.,0
"The distribution center measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2024.",0
The company diverted 14% of business travel emissions from landfill in 2021.,0
The distribution center reported 69% renewable electricity use in 2023.,0
The manufacturing site switched 86% of its fleet to electric vehicles by the end of 2020.,0
The company achieved ISO 14001 certification at 81 operating sites.,0
Environmental responsibility is central to our identity.,1
We are passionate about eco-friendly transformation across everything we do.,1
"The packaging unit installed 67 solar panels, generating 8134 MWh of electricity annually.",0
We remain dedicated to responsible growth as part of our environmental journey across our global network.,1
The automotive plant increased water consumption by 52% compared with 2024.,0
The retail division completed third-party verification for landfill waste data in 2021.,0
The retail division trained 222 suppliers on environmental reporting requirements.,0
The retail division completed third-party verification for manufacturing waste data in 2021.,0
The automotive plant invested €583 million in emissions monitoring during 2022.,0
We are taking meaningful steps to care for the planet across our brands This reflects our vision.,1
We are transforming our business to become more environmentally friendly across our value chain This reflects our responsibility.,1
We are committed to climate-conscious innovation through innovation and teamwork across our global network.,1
We are building a future where business and nature can thrive together across our global network This reflects our responsibility.,1
The data center invested €628 million in carbon accounting during 2022.,0
We believe in a greener future across everything we do across our teams.,1
We are committed to climate-conscious innovation for future generations.,1
The manufacturing site reported 20% renewable electricity use in 2024.,0
The manufacturing site switched 4% of its fleet to electric vehicles by the end of 2024.,0
The supplier network reduced water withdrawal by 60% at 103 facilities.,0
The data center diverted 28% of paper usage from landfill in 2020.,0
We continue to promote responsible growth in every aspect of our business across our value chain.,1
The supplier network recycled 29% of production waste across 181 sites.,0
Our sustainability journey reflects our values and purpose This reflects our commitment.,1
Environmental responsibility is central to our identity across our brands This reflects our values.,1
We are committed to positive change while creating value for all stakeholders across our global network.,1
Environmental responsibility is central to our identity across our global network This reflects our purpose.,1
We are proud to support environmental excellence through innovation and teamwork across our brands.,1
The company purchased 60190 MWh of certified renewable electricity in 2019.,0
We continue to promote environmental excellence through innovation and teamwork across our global network This reflects our purpose.,1
We are passionate about climate-conscious innovation in every aspect of our business across our global network This reflects our values.,1
We are committed to a greener future while creating value for all stakeholders.,1
We are building a future where business and nature can thrive together across our teams This reflects our values.,1
The manufacturing site completed third-party verification for energy consumption data in 2019.,0
We embrace responsible growth across everything we do across our operations This reflects our commitment.,1
The packaging unit upgraded Scope 1 emissions by 83% compared with 2021.,0
The retail division invested €727 million in low-carbon logistics during 2020.,0
We believe in planet-friendly business across our teams.,1
The data center invested €605 million in energy efficiency during 2020.,0
We work every day toward a greener future through innovation and teamwork.,1
We strive to long-term sustainability while creating value for all stakeholders.,1
The distribution center switched 37% of its fleet to electric vehicles by the end of 2021.,0
The company invested €551 million in carbon accounting during 2023.,0
The automotive plant switched 89% of its fleet to electric vehicles by the end of 2019.,0
Our sustainability journey reflects our values and purpose across our global network.,1
We strive to environmental excellence while creating value for all stakeholders across our global network.,1
The distribution center diverted 95% of Scope 1 emissions from landfill in 2025.,0
The production facility completed third-party verification for diesel use data in 2024.,0
We are committed to a greener future in every aspect of our business across our communities.,1
The company purchased 67942 MWh of certified renewable electricity in 2022.,0
Environmental responsibility is central to our identity This reflects our commitment.,1
We work every day toward long-term sustainability across everything we do across our global network.,1
We believe in environmental excellence in every aspect of our business across our teams.,1
We are building a future where business and nature can thrive together.,1
We work every day toward environmental excellence while creating value for all stakeholders.,1
We are passionate about long-term sustainability while creating value for all stakeholders.,1
The logistics division increased business travel emissions by 18% compared with 2020.,0
The supplier network diverted 38% of cooling energy demand from landfill in 2024.,0
The packaging unit diverted 34% of carbon emissions from landfill in 2025.,0
The data center diverted 43% of cooling energy demand from landfill in 2020.,0
The corporate office upgraded manufacturing waste by 95% compared with 2025.,0
"The packaging unit installed 243 solar panels, generating 39508 MWh of electricity annually.",0
The distribution center recycled 17% of production waste across 208 sites.,0
Environmental responsibility is central to our identity across our operations This reflects our commitment.,1
We continue to promote positive change through innovation and teamwork across our communities This reflects our commitment.,1
The distribution center lowered packaging weight by 95% per shipped unit.,0
We are taking meaningful steps to care for the planet across our teams This reflects our values.,1
We are committed to sustainable progress through innovation and teamwork across our operations.,1
The company lowered packaging weight by 58% per shipped unit.,0
The company reduced water withdrawal by 89% at 27 facilities.,0
The company reported 35% renewable electricity use in 2020.,0
We strive to sustainable progress for future generations.,1
The production facility switched 30% of its fleet to electric vehicles by the end of 2023.,0
We are taking meaningful steps to care for the planet This reflects our purpose.,1
We continue to promote a cleaner planet while creating value for all stakeholders across our teams.,1
The distribution center purchased 12968 MWh of certified renewable electricity in 2019.,0
The corporate office lowered packaging weight by 65% per shipped unit.,0
The data center invested €18 million in renewable energy during 2021.,0
The production facility diverted 68% of business travel emissions from landfill in 2025.,0
We are proud to support a better tomorrow for future generations across our operations This reflects our commitment.,1
We work every day toward planet-friendly business.,1
We embrace eco-friendly transformation with bold ambitions and strong values This reflects our responsibility.,1
We are passionate about a better tomorrow in every aspect of our business This reflects our values.,1
The data center trained 99 suppliers on environmental reporting requirements.,0
We are taking meaningful steps to care for the planet.,1
We aim to inspire long-term sustainability for future generations across our operations.,1
The logistics division replaced 139 diesel forklifts with electric models in 2021.,0
The data center invested €6 million in biodiversity protection during 2021.,0
"The data center installed 177 solar panels, generating 4498 MWh of electricity annually.",0
The manufacturing site purchased 46064 MWh of certified renewable electricity in 2019.,0
The retail division invested €105 million in renewable energy during 2025.,0
The logistics division achieved ISO 14001 certification at 229 operating sites.,0
The production facility audited diesel use by 86% compared with 2021.,0
The European operations invested €98 million in emissions monitoring during 2025.,0
We believe in a better tomorrow for future generations across our teams.,1
Our green vision guides us toward a more responsible future across our global network.,1
Our sustainability journey reflects our values and purpose across our brands.,1
We are passionate about long-term sustainability through innovation and teamwork.,1
We are committed to environmental excellence with bold ambitions and strong values across our global network This reflects our purpose.,1
The company reported 67% renewable electricity use in 2025.,0
The European operations achieved ISO 14001 certification at 206 operating sites.,0
We are committed to a greener future through innovation and teamwork across our operations.,1
We are passionate about a cleaner planet while creating value for all stakeholders across our global network.,1
We embrace responsible growth This reflects our commitment.,1
The European operations completed third-party verification for diesel use data in 2022.,0
"The manufacturing site installed 154 solar panels, generating 48906 MWh of electricity annually.",0
Our sustainability journey reflects our values and purpose across our communities This reflects our purpose.,1
"The packaging unit measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2019.",0
The logistics division expanded cooling energy demand by 33% compared with 2025.,0
We strive to eco-friendly transformation with bold ambitions and strong values.,1
The data center trained 24 suppliers on environmental reporting requirements.,0
The automotive plant reported 12% renewable electricity use in 2020.,0
We are proud to support long-term sustainability with bold ambitions and strong values across our value chain This reflects our purpose.,1
We embrace climate-conscious innovation across everything we do.,1
We aim to inspire a better tomorrow with bold ambitions and strong values across our brands This reflects our purpose.,1
We are building a future where business and nature can thrive together across our communities.,1
The European operations trained 142 suppliers on environmental reporting requirements.,0
We are transforming our business to become more environmentally friendly This reflects our values.,1
We are committed to a better tomorrow with bold ambitions and strong values across our global network.,1
The corporate office diverted 89% of cooling energy demand from landfill in 2020.,0
The retail division switched 33% of its fleet to electric vehicles by the end of 2025.,0
We are committed to eco-friendly transformation with bold ambitions and strong values This reflects our values.,1
The manufacturing site switched 92% of its fleet to electric vehicles by the end of 2022.,0
We are building a future where business and nature can thrive together across our teams.,1
We remain dedicated to a greener future through innovation and teamwork.,1
The automotive plant diverted 27% of water consumption from landfill in 2025.,0
The retail division invested €543 million in renewable energy during 2024.,0
The manufacturing site completed third-party verification for business travel emissions data in 2025.,0
The packaging unit completed third-party verification for Scope 2 emissions data in 2022.,0
We continue to promote a greener future through innovation and teamwork across our teams.,1
We are taking meaningful steps to care for the planet across our brands This reflects our responsibility.,1
The logistics division invested €640 million in electric mobility during 2025.,0
We continue to promote a cleaner planet across everything we do across our value chain.,1
We embrace sustainable progress across our operations This reflects our purpose.,1
The automotive plant diverted 15% of cooling energy demand from landfill in 2020.,0
The corporate office trained 118 suppliers on environmental reporting requirements.,0
We aim to inspire positive change while creating value for all stakeholders across our operations.,1
The manufacturing site verified paper usage by 93% compared with 2021.,0
"The logistics division measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2025.",0
We continue to promote a greener future with bold ambitions and strong values across our global network.,1
Our sustainability journey reflects our values and purpose This reflects our purpose.,1
The retail division invested €67 million in energy efficiency during 2024.,0
The distribution center completed third-party verification for water consumption data in 2023.,0
We continue to promote eco-friendly transformation with bold ambitions and strong values.,1
We embrace planet-friendly business through innovation and teamwork across our teams.,1
The manufacturing site reported 35% renewable electricity use in 2021.,0
We embrace planet-friendly business with bold ambitions and strong values.,1
"The data center measured and published Scope 1, Scope 2, and selected Scope 3 emissions for 2022.",0
We believe in responsible growth across our value chain.,1
The supplier network replaced 194 diesel forklifts with electric models in 2022.,0
The company reported 87% renewable electricity use in 2025.,0
The supplier network lowered packaging weight by 8% per shipped unit.,0
The production facility decreased paper usage by 98% compared with 2020.,0
The distribution center replaced 95 diesel forklifts with electric models in 2025.,0
We are committed to positive change in every aspect of our business across our value chain.,1
The production facility invested €303 million in circular packaging during 2025.,0
The corporate office invested €195 million in water recycling during 2021.,0
We are passionate about climate-conscious innovation for future generations across our global network This reflects our responsibility.,1
The automotive plant recycled 29% of production waste across 173 sites.,0
We are committed to responsible growth as part of our environmental journey This reflects our responsibility.,1
The retail division reduced water withdrawal by 22% at 104 facilities.,0
Our green vision guides us toward a more responsible future across our communities.,1
We strive to responsible growth for future generations across our operations.,1
We remain dedicated to long-term sustainability while creating value for all stakeholders across our operations.,1
The production facility trained 168 suppliers on environmental reporting requirements.,0
The company cut hazardous waste by 92% compared with 2024.,0
We believe in climate-conscious innovation as part of our environmental journey across our communities This reflects our commitment.,1
The company invested €119 million in water recycling during 2021.,0
The supplier network purchased 63533 MWh of certified renewable electricity in 2023.,0
Environmental responsibility is central to our identity across our global network This reflects our responsibility.,1
We are passionate about environmental excellence across our global network This reflects our responsibility.,1
"The data center installed 140 solar panels, generating 5425 MWh of electricity annually.",0
Sustainability is deeply embedded in our culture and decision-making across our value chain This reflects our values.,1
We work every day toward responsible growth across our value chain.,1
